item;a1;a2;d;MDISC;COS;Angle;MDIFF;Slope
1;1,81;0,86;1,46;2,00;0,9;25,00;-,73;0,5
2;1,22;0,02;0,17;1,22;1,00;1,00;-,14;0,31
3;1,57;0,36;0,67;1,61;0,97;13,00;-,42;0,4
4;0,71;0,53;0,44;0,89;0,8;37,00;-,50;0,22
5;0,86;0,19;0,1;0,88;0,98;12,00;-,11;0,22
6;1,72;0,18;0,44;1,73;0,99;6,00;-,25;0,43
7;1,86;0,29;0,38;1,88;0,99;9,00;-,20;0,47
8;1,33;0,34;0,69;1,37;0,97;14,00;-,50;0,34
9;1,19;1,57;0,17;1,97;0,6;53,00;-,09;0,49
10;2,00;0,00;0,38;2,00;1,00;0,00;-,19;0,5
11;0,24;1,14;-,95;1,16;0,21;78,00;0,82;0,29
12;0,51;1,21;-1,00;1,31;0,39;67,00;0,76;0,33
13;0,76;0,59;-,96;0,96;0,79;38,00;1,00;0,24
14;0,01;1,94;-1,92;1,94;0,01;90,00;0,99;0,49
15;0,39;1,77;-1,57;1,81;0,22;78,00;0,87;0,45
16;0,76;0,99;-1,36;1,25;0,61;52,00;1,09;0,31
17;0,49;1,1;-,81;1,2;0,41;66,00;0,67;0,3
18;0,29;1,1;-,99;1,14;0,25;75,00;0,87;0,28
19;0,48;1,00;-1,56;1,11;0,43;64,00;1,41;0,28
20;0,42;0,75;-1,61;0,86;0,49;61,00;1,87;0,21
