item;a1;a2;a3;d;alpha1;alpha2;alpha3;MDISC;MDIFF
1;0,7471;0,0250;0,1428;0,1826;11;88;79;0,76;-0,24
2;0,4595;0,0097;0,0692;-0,1924;9;89;81;0,46;0,41
3;0,8613;0,0067;0,4040;-0,4656;25;90;65;0,95;0,49
4;1,0141;0,0080;0,0470;-0,4336;3;90;87;1,02;0,43
5;0,5521;0,0204;0,1482;-0,4428;15;88;75;0,57;0,77
6;1,3547;0,0064;0,5362;-0,5845;22;90;68;1,46;0,40
7;1,3761;0,0861;0,4676;-1,0403;19;87;71;1,46;0,71
8;0,8525;0,0383;0,2574;0,6431;17;88;73;0,89;-0,72
9;1,0113;0,0055;0,2024;0,0122;11;90;79;1,03;-0,01
10;0,9212;0,0119;0,3044;0,0912;18;89;72;0,97;-0,09
11;0,0026;0,2436;0,8036;0,8082;90;73;17;0,84;-0,96
12;0,0008;0,1905;1,1945;-0,1867;90;81;9;1,21;0,15
13;0,0575;0,0853;0,7077;0,4533;85;83;8;0,72;-0,63
14;0,0182;0,3307;2,1414;-1,8398;90;81;9;2,17;0,85
15;0,0256;0,0478;0,8551;0,4139;88;87;4;0,86;-0,48
16;0,0246;0,1496;0,9348;-0,3004;89;81;9;0,95;0,32
17;0,0262;0,2872;1,3561;-0,1824;89;78;12;1,39;0,13
18;0,0038;0,2229;0,8993;0,5125;90;76;14;0,93;-0,55
19;0,0039;0,4720;0,7318;1,1342;90;57;33;0,87;-1,30
20;0,0068;0,0949;0,6416;0,0230;89;82;8;0,65;-0,04
21;0,3073;0,9704;0,0031;0,6172;72;18;90;1,02;-0,61
22;0,1819;0,4980;0,0020;-0,1955;70;20;90;0,53;0,37
23;0,4115;1,1136;0,2008;-0,3668;70;22;80;1,20;0,30
24;0,1536;1,7251;0,0345;-1,7590;85;5;89;1,73;1,02
25;0,1530;0,6688;0,0020;-0,2434;77;13;90;0,69;0,35
26;0,2890;1,2419;0,0220;0,4925;77;13;89;1,28;-0,39
27;0,1341;1,4882;0,0050;-0,3410;85;5;90;1,49;0,23
28;0,0524;0,4754;0,0012;0,2896;84;6;90;0,48;-0,61
29;0,2139;0,4612;0,0063;0,0060;65;25;89;0,51;-0,01
30;0,1761;1,1200;0,0870;0,0329;81;10;86;1,14;-0,03
